From	To
A0A125V1Y8	A0A125V1Y8_CLODI
A0A160WTP2	OBSOLETE
A0A2G5MSD1	A0A2G5MSD1_9PSED
A0A1F6DDZ1	A0A1F6DDZ1_9BACT
A0A0W0I8W9	A0A0W0I8W9_PSEFL
A0A1H9NE20	A0A1H9NE20_BUTFI
A0A2D8QJ83	A0A2D8QJ83_9PROT
A0A228Q898	A0A228Q898_9BURK
A0A1H9BUP5	A0A1H9BUP5_9FIRM
A0A0F2QY93	A0A0F2QY93_9DELT
A0A1S2RAH3	A0A1S2RAH3_9BACI
K4L541	K4L541_9FIRM
T0I3C9	T0I3C9_9FIRM
A0A1Y4H1X1	A0A1Y4H1X1_9FIRM
A0A1Y4MEK6	A0A1Y4MEK6_9FIRM
A0A118TMZ0	A0A118TMZ0_9BURK
A0A2A4U0S7	A0A2A4U0S7_9PROT
Q8GK98	Q8GK98_HELPX
A0A1M5YU41	A0A1M5YU41_BUTFI
A0A174ZZR4	A0A174ZZR4_9FIRM
A0A1B3WGP4	OBSOLETE
Q8W2J8	Q8W2J8_CYAPA
A0A1C1WKP9	A0A1C1WKP9_9PSED
A0A1M3CFR3	A0A1M3CFR3_9BRAD
A0A1Y6IXX6	A0A1Y6IXX6_9VIBR
W2CDX8	W2CDX8_9BACT
A0A1J6I3Z3	A0A1J6I3Z3_9RHIZ
M9YVW9	M9YVW9_9VIRI
A0A0W0U764	OBSOLETE
A0A199Y1Y9	A0A199Y1Y9_9PROT
A0A199YH34	A0A199YH34_9PROT
A0A154VFP5	A0A154VFP5_9PROT
A1SS55	ATPB1_PSYIN
K2LQG8	K2LQG8_9PROT
S7KPE5	S7KPE5_CHLPS
A0A2D5YRI7	A0A2D5YRI7_9PROT
A0A2E4LX89	A0A2E4LX89_9PROT
A1E8Y9	A1E8Y9_9CHLO
A0A1Y6K6P5	A0A1Y6K6P5_9CHLR
A0A106DM18	A0A106DM18_9BURK
A0A0M2VE06	A0A0M2VE06_9GAMM
A0A0E4AS61	OBSOLETE
A0A136HS77	A0A136HS77_9PROT
A0A109EFR2	A0A109EFR2_9BURK
F9UIF3	F9UIF3_9GAMM
A0A1J4T322	A0A1J4T322_9BACT
A0A059FGK2	A0A059FGK2_9RHOB
A0A1H2SWM2	A0A1H2SWM2_THIRO
A0A2N6VZ41	A0A2N6VZ41_BACME
A0A1L8P3B9	A0A1L8P3B9_9LACT
A0A226WXP3	A0A226WXP3_9BURK
A0A1I4D676	A0A1I4D676_9FIRM
A0A1Y5S2E5	A0A1Y5S2E5_9RHOB
E2XL58	E2XL58_PSEFL
A0A267XE26	A0A267XE26_9BACI
A0A1F1EAW5	A0A1F1EAW5_9PORP
A0A258RV85	A0A258RV85_9SPHN
G6B2P1	OBSOLETE
G6BI22	OBSOLETE
T4IKZ1	T4IKZ1_CLODI
B2LHQ6	B2LHQ6_9POAL
Q8MFX7	Q8MFX7_EPHSI
A1E920	A1E920_9CHLO
A0A0N1HQL9	A0A0N1HQL9_CLODI
A0A069A4B5	A0A069A4B5_CLODI
A0A0J0U5E9	A0A0J0U5E9_PAESO
T3DR32	T3DR32_CLODI
A0A0C4W449	A0A0C4W449_9MONI
A0A0C4W450	A0A0C4W450_9MONI
A0A0C4W454	A0A0C4W454_9MONI
A0A0C4W567	A0A0C4W567_9MONI
A0A0C4W5C9	A0A0C4W5C9_9MONI
A0A0C4W6J7	A0A0C4W6J7_9MONI
A0A0C4W6L6	A0A0C4W6L6_9MONI
A0A0C4W8K6	A0A0C4W8K6_9MONI
A0A0C4W8L5	A0A0C4W8L5_9MONI
A0A0C4W8M1	A0A0C4W8M1_9MONI
W6CWN0	W6CWN0_9MONI
A0A231NTH4	A0A231NTH4_9FIRM
F9PVK6	F9PVK6_9STRE
A0A1F1KWA6	A0A1F1KWA6_9CLOT
D6YSB6	D6YSB6_WADCW
F8LF14	F8LF14_9BACT
A0A1R4YYN9	A0A1R4YYN9_CLODI
A0A2G2PQ31	A0A2G2PQ31_9RHOB
R7HU47	R7HU47_9CLOT
A0A1F6ENV2	A0A1F6ENV2_9BACT
A0A0H3MYP6	A0A0H3MYP6_PEPDC
A0A1F2DBL3	A0A1F2DBL3_9CLOT
A0A2L1ALJ3	OBSOLETE
C9YI61	C9YI61_PEPDR
A0A1G1NLH7	A0A1G1NLH7_9BACT
R6RS73	R6RS73_9FIRM
A0A2E8HWE4	A0A2E8HWE4_9PROT
L1KXD8	L1KXD8_9ACTN
A0A1G1PJC2	A0A1G1PJC2_9BACT
A0A1G3PDB2	A0A1G3PDB2_9SPIR
A0A2G2R0U7	A0A2G2R0U7_9PROT
A0A2E1CSM6	A0A2E1CSM6_9PROT
A0A1C5LMB7	A0A1C5LMB7_9CLOT
A0A1Q6S7E9	A0A1Q6S7E9_9FIRM
R6EJB3	R6EJB3_9FIRM
Q3A083	ATPB2_PELCD
A0A0S2M1E6	A0A0S2M1E6_9MICC
A0A255I4V7	OBSOLETE
A0A1J4T3V9	A0A1J4T3V9_9BACT
A0A0X3VIP8	A0A0X3VIP8_STRVO
A0A2K1FCI3	A0A2K1FCI3_9PSED
B3SHD5	B3SHD5_TRAOH
A0A1F4H402	A0A1F4H402_9BURK
A0A1M3HDH4	A0A1M3HDH4_9SPHI
A0A069ZLH4	A0A069ZLH4_9PORP
A0A1G1QD47	A0A1G1QD47_9BACT
A0A1Y4TVE2	A0A1Y4TVE2_9FIRM
A0A2J4G7F5	A0A2J4G7F5_9CREN
A0A2N1RW12	A0A2N1RW12_9SPIR
B1FB81	B1FB81_9BURK
I3Y9T5	I3Y9T5_THIV6
A0A1G7UAR1	A0A1G7UAR1_9PROT
A0A134AX84	A0A134AX84_9PORP
A0A134B2X6	A0A134B2X6_9PORP
H6THA2	H6THA2_ELOCA
A0A0F4VND2	A0A0F4VND2_9CLOT
A0A0F4W2D1	A0A0F4W2D1_9CLOT
A0A0F4WXZ8	A0A0F4WXZ8_9CLOT
A0A0F2QF17	A0A0F2QF17_9CLOT
A0A1F8B7G2	A0A1F8B7G2_9BACT
A0A0E2Z1A3	A0A0E2Z1A3_9GAMM
Q3J9F3	VATA_NITOC
A0A261GTD0	A0A261GTD0_9GAMM
A0A1W6ZSL2	A0A1W6ZSL2_9RHIZ
A0A0F9LWX8	A0A0F9LWX8_9ZZZZ
A0A1E3X8N7	A0A1E3X8N7_9BACT
A0A1V5ARX3	A0A1V5ARX3_9EURY
A0A286H140	A0A286H140_9ACTN
B2LHP6	B2LHP6_9POAL
R9M3B9	R9M3B9_9FIRM
A0A2N5I3Y6	A0A2N5I3Y6_9BACI
A0A1Y0H910	A0A1Y0H910_9BACT
A0A2N2KQ68	A0A2N2KQ68_9DELT
A0A1Q5P4K3	A0A1Q5P4K3_9BACI
V5WI08	V5WI08_9SPIO
A0A1K1SZU6	A0A1K1SZU6_9BURK
G2J0N2	G2J0N2_PSEUL
R6NAD0	R6NAD0_9FIRM
V8TRS4	V8TRS4_9CHLA
B3FTR1	B3FTR1_9LILI
A0A0D8CID4	A0A0D8CID4_9PROT
A0A1V5NT61	A0A1V5NT61_9BACT
A2WE12	A2WE12_9BURK
A0A104L9L3	A0A104L9L3_9BURK
A0A2G1SA51	A0A2G1SA51_9BURK
A0A0D0ES46	A0A0D0ES46_9BACI
W0DMH5	W0DMH5_9GAMM
A0A0D0F7J7	A0A0D0F7J7_9BACI
A0A081BLN5	A0A081BLN5_9BACT
D3YI54	D3YI54_9MONI
A0A1I4CVW1	A0A1I4CVW1_9RHIZ
A0A2N6C2J1	A0A2N6C2J1_9DELT
S2XC27	S2XC27_9BACL
A0A1C6NUR4	A0A1C6NUR4_9ACTN
A0A2H0FWH4	A0A2H0FWH4_9BACT
A3D9N1	A3D9N1_SHEB5
A0A174B6S9	A0A174B6S9_9FIRM
A0A2C2MTF7	A0A2C2MTF7_BACME
A0A1I0IS63	A0A1I0IS63_9FIRM
C0DAB5	C0DAB5_9FIRM
A0A1G3L6I4	A0A1G3L6I4_9SPIR
A0A1H7HN80	A0A1H7HN80_STIAU
A0A1C0BR19	A0A1C0BR19_9CLOT
Q6YNB2	Q6YNB2_COLSC
B1Z5N1	B1Z5N1_BURA4
Q85YC4	Q85YC4_COLSC
Q0B376	Q0B376_BURCM
A0A0P1EE29	A0A0P1EE29_9RHOB
R9N7N6	R9N7N6_9FIRM
A0A1Z9K8Z7	A0A1Z9K8Z7_9BACT
Q2SEY6	Q2SEY6_HAHCH
A0A1I0JGY7	A0A1I0JGY7_9DELT
A0A088CLZ7	A0A088CLZ7_9XANT
A0A088CLZ9	A0A088CLZ9_9XANT
A0A088CM01	A0A088CM01_9XANT
A0A088CM04	A0A088CM04_9XANT
A0A088CM34	A0A088CM34_9XANT
A0A088CM36	A0A088CM36_9XANT
A0A088CM38	A0A088CM38_9XANT
A0A088CM40	A0A088CM40_9XANT
A0A088CMP4	A0A088CMP4_9XANT
A0A088CMP7	A0A088CMP7_9XANT
A0A088CMQ0	A0A088CMQ0_9XANT
A0A088CMQ1	A0A088CMQ1_9XANT
A0A088CMQ3	A0A088CMQ3_9XANT
A0A088CMQ4	A0A088CMQ4_9XANT
A0A088CMQ7	A0A088CMQ7_9XANT
A0A088CMQ9	A0A088CMQ9_9XANT
A0A088CN11	A0A088CN11_9XANT
A0A088CN12	A0A088CN12_9XANT
A0A088CN13	A0A088CN13_9XANT
A0A088CN14	A0A088CN14_9XANT
Q8SLY5	Q8SLY5_9VIRI
A0A072NCY0	A0A072NCY0_9DEIO
A0A1G1E851	A0A1G1E851_9BACT
A0A2A8D1Q5	A0A2A8D1Q5_9BACT
A0A202DKV0	A0A202DKV0_9BACT
A0A1G1HBY9	A0A1G1HBY9_9BACT
A0A2J6HNH8	A0A2J6HNH8_9BACT
F5HQE6	F5HQE6_VIBFL
A0A2M7GFV0	A0A2M7GFV0_9PROT
C4GD35	C4GD35_9FIRM
A0A0B0ENL6	A0A0B0ENL6_9BACT
A0A0S8FM53	A0A0S8FM53_9BACT
A6XLF7	A6XLF7_SALET
E5DK87	E5DK87_9ROSI
A0A1F8UFQ9	OBSOLETE
C1CXU4	VATB_DEIDV
X8GZQ5	X8GZQ5_9FIRM
A0A0K2GBL0	A0A0K2GBL0_NITMO
A0A1F9BS29	A0A1F9BS29_9DELT
A0A099PCQ5	A0A099PCQ5_9GAMM
A0A149SQA7	A0A149SQA7_GLUJA
W8AAW3	W8AAW3_9BACI
V4JDA4	V4JDA4_9GAMM
A0A2E2AYL5	A0A2E2AYL5_9BACT
A0A1L8CUH9	A0A1L8CUH9_9THEO
A0A1V5G904	A0A1V5G904_9BACT
A0A1K1YSM4	A0A1K1YSM4_RUMFL
E2E6J5	E2E6J5_9ENTE
A0A1W9TKZ2	A0A1W9TKZ2_9BACT
T1CDX1	T1CDX1_9ZZZZ
Q6YNB3	Q6YNB3_COLSC
Q8SLY6	Q8SLY6_COLOB
A0A1G1HVE7	A0A1G1HVE7_9BACT
A0A1G1I5W7	A0A1G1I5W7_9BACT
A0A0R0MEG9	A0A0R0MEG9_9BURK
A0A0Q8RIK9	A0A0Q8RIK9_9BURK
A0A0A7ADF0	A0A0A7ADF0_9XANT
B6FPS5	B6FPS5_9FIRM
A0A1X6YV63	A0A1X6YV63_9RHOB
A0A1N6V3F3	A0A1N6V3F3_9GAMM
A0A0W0WJL6	OBSOLETE
A0A150GC34	A0A150GC34_GONPE
A0A2E5LNY3	A0A2E5LNY3_9PROT
A0A1N7JCE0	A0A1N7JCE0_9GAMM
A0A1C5S850	A0A1C5S850_9FIRM
A0A256BLK6	A0A256BLK6_9LACT
R6QP29	R6QP29_9CLOT
A0A174UPY9	A0A174UPY9_9FIRM
A0A1G6C7H4	A0A1G6C7H4_EUBOX
R7ADJ3	R7ADJ3_9FIRM
A0A1I4CN52	A0A1I4CN52_9GAMM
A0A0A7RGR4	A0A0A7RGR4_9LACO
A0A0R1PYE9	A0A0R1PYE9_9LACO
A0A2A5WRA0	A0A2A5WRA0_9GAMM
A0A2N7W018	A0A2N7W018_9BURK
A0A1F8U341	A0A1F8U341_9FIRM
Q8SLY3	Q8SLY3_9VIRI
A0L4A6	A0L4A6_MAGMM
A4YB50	A4YB50_SHEPC
A0A128HN37	A0A128HN37_LEGPN
A0A1E5JNW9	A0A1E5JNW9_9GAMM
A0A0L0WBE0	A0A0L0WBE0_CLOPU
A0A257P0P9	A0A257P0P9_9BURK
A0A2N2D5D9	A0A2N2D5D9_9FIRM
A0A0G0KIJ2	A0A0G0KIJ2_9BACT
A0A1F6KKW6	A0A1F6KKW6_9BACT
A0A268AAF0	A0A268AAF0_9BACI
A0A1V5UR98	A0A1V5UR98_9BACT
A0A1H6RQI2	A0A1H6RQI2_9PSED
A0A173WBI6	A0A173WBI6_9FIRM
A0A1Q6P468	A0A1Q6P468_9FIRM
A8SP02	A8SP02_9FIRM
D5HEC0	D5HEC0_9FIRM
R5WE69	R5WE69_9FIRM
R6LEF0	OBSOLETE
A0A075LI75	A0A075LI75_9BACI
A0A1Y4VCG5	A0A1Y4VCG5_9FIRM
A0A1G3IIC9	A0A1G3IIC9_9BURK
A0A101GBS2	A0A101GBS2_9BACT
A0A1H6D8L5	A0A1H6D8L5_9GAMM
Q252P6	Q252P6_CHLFF
A0A2H0SQJ7	A0A2H0SQJ7_9BACT
A0A149UNJ9	A0A149UNJ9_9PROT
A0A1G1PBQ9	A0A1G1PBQ9_9BACT
A0A1M5DV62	A0A1M5DV62_9CLOT
U2DSA6	U2DSA6_CLOS4
A0A1H8AR70	A0A1H8AR70_9BACI
A0A1B4QS93	OBSOLETE
X0XUJ0	X0XUJ0_9ZZZZ
D6GVY4	D6GVY4_9ZZZZ
A0A2N7PT57	A0A2N7PT57_9BACT
A0A1E7DKN6	A0A1E7DKN6_9BACI
A0A136MPI7	A0A136MPI7_9BACT
A0A063B6D0	A0A063B6D0_9BURK
A0A0M4FRC9	A0A0M4FRC9_9BACI
A0A2A5F8N4	A0A2A5F8N4_9RHOB
A0A0Q7XPP1	A0A0Q7XPP1_9RHIZ
A0A1G1LX10	OBSOLETE
R9MCW6	R9MCW6_9FIRM
A0A0Q3W2A8	A0A0Q3W2A8_9BACI
A0A1U9ZAK7	A0A1U9ZAK7_9MONI
A0A0W0USJ2	OBSOLETE
A0A2E0ZKN0	A0A2E0ZKN0_9CHLR
A0A2A8HUE3	A0A2A8HUE3_9SPHN
A0A211Z8H3	A0A211Z8H3_9PROT
A0A2N8R2E3	A0A2N8R2E3_BURTH
L0A3S1	L0A3S1_DEIPD
A0A1T2YR88	A0A1T2YR88_PSEFL
J3HR28	J3HR28_9BURK
A0A1M4VRV6	A0A1M4VRV6_9FIRM
A0A096YSK6	OBSOLETE
Q2T873	ATPA2_BURTA
R6WVK8	R6WVK8_9FIRM
A0A1E4BBD6	A0A1E4BBD6_9BACT
Q2SBV6	Q2SBV6_HAHCH
H2IN67	OBSOLETE
A0A1G3L041	A0A1G3L041_9SPIR
A0A148N655	A0A148N655_9GAMM
A0A1Y4NMK9	A0A1Y4NMK9_CLOSC
D4CGX1	D4CGX1_9CLOT
D4MS15	D4MS15_9FIRM
D6DGA5	D6DGA5_CLOSC
R5MKD4	R5MKD4_9CLOT
E2E6I8	E2E6I8_9ENTE
A0A0R1VGQ5	A0A0R1VGQ5_9LACO
A0A173RNL8	A0A173RNL8_9FIRM
D4M278	D4M278_9FIRM
A0A1C5T982	A0A1C5T982_9FIRM
A0A1C5V5K0	A0A1C5V5K0_9FIRM
A0A1F6ZCU6	A0A1F6ZCU6_9BACT
A0A1F6ZR77	A0A1F6ZR77_9BACT
A0A1F7A0I7	A0A1F7A0I7_9BACT
A0A2G5WXU7	A0A2G5WXU7_9BACL
A0A0G1WR60	A0A0G1WR60_9BACT
A0A1G2MFH2	A0A1G2MFH2_9BACT
A0A223AQ21	A0A223AQ21_9FIRM
I2C073	I2C073_9MONI
R6ZEW3	R6ZEW3_9CLOT
M1ZB70	M1ZB70_NITG3
A0A1F9L5J6	A0A1F9L5J6_9DELT
A0A1U9ZAK6	A0A1U9ZAK6_9MONI
A0A173S055	A0A173S055_9FIRM
A0A1C5P2P1	A0A1C5P2P1_9FIRM
C0CJT7	C0CJT7_BLAHS
R5BU97	R5BU97_9FIRM
F9P5B1	F9P5B1_STRCV
Q18CY8	Q18CY8_PEPD6
A0A1S6Z8T0	A0A1S6Z8T0_9BACI
E2E6K4	E2E6K4_9ENTE
A0A1F6IM42	A0A1F6IM42_9BACT
G0A6H4	G0A6H4_METMM
Q9MRJ6	Q9MRJ6_EPHTW
D2MQL5	D2MQL5_9FIRM
A0A174Y7W6	A0A174Y7W6_9FIRM
R6NSP0	R6NSP0_9FIRM
A0A0H1R7Z0	A0A0H1R7Z0_9RHIZ
A0A224W1H7	OBSOLETE
A0A2C1KK84	A0A2C1KK84_9BACI
A0A1N6HRV8	A0A1N6HRV8_9PROT
R5MLJ6	R5MLJ6_9FIRM
A0A1E5JQV7	A0A1E5JQV7_9GAMM
J1NX32	J1NX32_STREE
A0A2D8XBG3	A0A2D8XBG3_9RHIZ
A0A2D5QRB8	A0A2D5QRB8_9DELT
A0A0W1RWS7	A0A0W1RWS7_9GAMM
A6XLG0	A6XLG0_SALSE
W1N9Q7	W1N9Q7_9GAMM
S3KEN6	S3KEN6_TREMA
A0A1I0I009	A0A1I0I009_9ACTN
A0A163XMX1	A0A163XMX1_9BRAD
A0AR36	A0AR36_KINAU
A0A1Q9BC62	A0A1Q9BC62_BACPU
A0A2G6HVD1	A0A2G6HVD1_9BACT
A0A2G6Q2K5	A0A2G6Q2K5_9BACT
A0A1S8S896	A0A1S8S896_CLOBE
R1ARJ6	R1ARJ6_9CLOT
A0A1Q3QKF9	A0A1Q3QKF9_9BACT
A0A2N4TTB0	A0A2N4TTB0_RALPI
A0A1H6NW11	A0A1H6NW11_9BRAD
A0A239P4M0	A0A239P4M0_9BRAD
R9YCH6	R9YCH6_ANAPH
A0A2G6H3L1	A0A2G6H3L1_9BACT
H8PF65	H8PF65_BROMC
A0A0W0TF67	A0A0W0TF67_LEGER
A0A1G4VX37	A0A1G4VX37_9FIRM
A0A2E0X9H2	A0A2E0X9H2_9PLAN
Q09QV2	Q09QV2_9SPER
Q6S7E2	Q6S7E2_9PSED
A0A2E7PY04	A0A2E7PY04_9BACT
A0A0W0S7N9	A0A0W0S7N9_9GAMM
A0A1N6UK43	A0A1N6UK43_9BACI
E2E6L3	E2E6L3_9ENTE
A0A1I7DJU2	A0A1I7DJU2_9RHOB
F0Z3D4	F0Z3D4_9CLOT
A0A2H6B6H6	A0A2H6B6H6_9BACT
I3E4S8	I3E4S8_BACMT
A0A086D4L3	A0A086D4L3_9GAMM
G0A2C7	G0A2C7_METMM
A0A2N1SXN6	A0A2N1SXN6_9BACT
A0A0F9L9E9	A0A0F9L9E9_9ZZZZ
A0A173DYV4	A0A173DYV4_9CHLA
A0A143HAL2	A0A143HAL2_9BACL
A0A2E9QUS3	A0A2E9QUS3_9DELT
A0A2D8Q8R6	A0A2D8Q8R6_9PROT
A0A1B5DIV6	A0A1B5DIV6_9PSED
A0A1B5EIV1	A0A1B5EIV1_9PSED
A0A1H3BSD3	A0A1H3BSD3_9PSED
A0A2G5LGR4	A0A2G5LGR4_9PSED
A0A2N1DQU7	A0A2N1DQU7_9GAMM
A0A2N4TQB5	A0A2N4TQB5_RALPI
A0A174M6V0	A0A174M6V0_9FIRM
A0A221SSX1	A0A221SSX1_9DEIO
A0A0P9RR75	A0A0P9RR75_9PSED
Q2LJ01	Q2LJ01_9PSED
B3SHD7	B3SHD7_ANIFA
A0A0P9LL57	A0A0P9LL57_9PSED
